Survived,Pclass,Age,SibSp,Parch,Fare,has_cabin,family_size,is_alone,fare_per_person,sex_encoded,age_group_encoded,fare_bin_encoded,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mrs,title_Rare
0,3,-0.5348911628688886,1,0,-0.5641087873940193,0,0.059159876663617626,0,-0.5476058507246607,0,2,0,0,0,1,0,0,0,0
1,1,0.6683917564561223,1,0,0.9425480546638041,1,0.059159876663617626,0,0.5808979535718629,1,2,3,1,0,0,0,0,1,0
1,3,-0.23407043303763592,0,0,-0.548226529750121,0,-0.5609748304808925,1,-0.39604201258184907,1,2,1,0,0,1,0,1,0,0
1,1,0.4427762090826827,1,0,0.5147082688618853,1,0.059159876663617626,0,0.26044089100184115,1,2,3,0,0,1,0,0,1,0
0,3,0.4427762090826827,0,0,-0.5452853709271769,0,-0.5609748304808925,1,-0.39163608705444175,0,2,1,0,0,1,0,0,0,0
0,3,-0.3092756154954491,0,0,-0.5356783697479123,0,-0.5609748304808925,1,-0.3772445719117185,0,2,1,0,1,0,0,0,0,0
0,1,1.8716746757811333,0,0,0.4855907965147383,1,-0.5609748304808925,1,1.1526408103018226,0,2,3,0,0,1,0,0,0,0
0,3,-2.038994812025152,3,1,-0.23881662157639924,0,1.9195639980971482,0,-0.5268098822352982,0,0,2,0,0,1,1,0,0,0
1,3,-0.15886525057982273,0,2,-0.47273757093690794,0,0.6792945838081278,0,-0.5445710492213827,1,2,1,0,0,1,0,0,1,0
1,2,-1.136532622531394,1,0,-0.027152009260873307,0,0.059159876663617626,0,-0.14541886962123324,1,1,2,1,0,0,0,0,1,0
1,3,-1.8885844471095259,1,1,-0.3417571803794436,1,0.6792945838081278,0,-0.47916714086560047,1,0,2,0,0,1,0,1,0,0
1,1,2.172495405612386,0,0,-0.10999386513144661,1,-0.5609748304808925,1,0.26044089100184115,1,2,2,0,0,1,0,1,0,0
0,3,-0.685301527784515,0,0,-0.5452853709271769,0,-0.5609748304808925,1,-0.39163608705444175,0,2,1,0,0,1,0,0,0,0
0,3,0.7435969389139355,1,5,0.0011819383758412065,0,3.1598334123861687,0,-0.5178973243112858,0,2,3,0,0,1,0,0,0,0
0,3,-1.136532622531394,0,0,-0.5498924021074366,0,-0.5609748304808925,1,-0.39853752880057264,1,1,0,0,0,1,0,1,0,0
1,2,1.9468798582389464,0,0,-0.35822766978793064,0,-0.5609748304808925,1,-0.11141922351133643,1,2,2,0,0,1,0,0,1,0
0,3,-2.038994812025152,4,1,-0.04940599337879768,0,2.5396987052416584,0,-0.5042809163718222,0,0,2,0,1,0,1,0,0,0
1,2,0.06675029679361683,0,0,-0.4288154815385896,0,-0.5609748304808925,1,-0.21716143616911202,0,2,1,0,0,1,0,0,0,0
0,3,0.14195547925143,1,0,-0.3111691286208247,0,0.059159876663617626,0,-0.35815105304614614,1,2,2,0,0,1,0,0,1,0
1,3,-0.5724937540977952,0,0,-0.5646970191586081,0,-0.5609748304808925,1,-0.42071519553533004,1,2,0,1,0,0,0,0,1,0
0,2,0.4427762090826827,0,0,-0.12293496395240078,0,-0.5609748304808925,1,0.24105481868124892,0,2,2,0,0,1,0,0,0,0
1,2,0.36757102662486957,0,0,-0.4288154815385896,1,-0.5609748304808925,1,-0.21716143616911202,0,2,1,0,0,1,0,0,0,0
1,3,-1.061327440073581,0,0,-0.5457747797553149,0,-0.5609748304808925,1,-0.39236923306220234,1,1,1,0,1,0,0,1,0,0
1,1,-0.08366006812200955,0,0,0.10059310659135261,1,-0.5609748304808925,1,0.575905158764205,0,2,3,0,0,1,0,0,0,0
0,3,-1.5877637172782733,3,1,-0.23881662157639924,0,1.9195639980971482,0,-0.5268098822352982,1,0,2,0,0,1,0,1,0,0
1,3,0.6683917564561223,1,5,0.003828981316490934,0,3.1598334123861687,0,-0.5173308481720477,1,2,3,0,0,1,0,0,1,0
0,3,-0.3092756154954491,0,0,-0.5646970191586081,0,-0.5609748304808925,1,-0.42071519553533004,0,2,0,1,0,0,0,0,0,0
0,1,-0.7605067102423282,3,2,5.124238728242953,1,2.5396987052416584,0,0.787426123888799,0,2,3,0,0,1,0,0,0,0
1,3,-0.5724937540977952,0,0,-0.5493041703428477,0,-0.5609748304808925,1,-0.3976563436950911,1,2,0,0,1,0,0,1,0,0
0,3,-0.3092756154954491,0,0,-0.5489135844511608,0,-0.5609748304808925,1,-0.3970712367850514,0,2,0,0,0,1,0,0,0,0
0,1,0.8188021213717487,0,0,-0.08244579513222278,0,-0.5609748304808925,1,0.301708551861749,0,2,2,1,0,0,0,0,0,1
1,1,0.4427762090826827,1,0,2.7128315501938722,1,0.059159876663617626,0,1.9068612410450951,1,2,3,1,0,0,0,0,1,0
1,3,-0.5724937540977952,0,0,-0.5523441521022427,0,-0.5609748304808925,1,-0.4022103083202193,1,2,0,0,1,0,0,1,0,0
0,2,2.7741368652748912,0,0,-0.4876386579974721,0,-0.5609748304808925,1,-0.30527994671725833,0,3,1,0,0,1,0,0,0,0
0,1,-0.08366006812200955,1,0,1.1987229881422372,0,0.059159876663617626,0,0.7727760102904516,0,2,3,1,0,0,0,0,0,0
0,1,0.969212486287375,1,0,0.4888260712199769,0,0.059159876663617626,0,0.24105481868124892,0,2,3,0,0,1,0,0,0,0
1,3,-0.3092756154954491,0,0,-0.5645981962221572,0,-0.5609748304808925,1,-0.4205671564376092,0,2,0,1,0,0,0,0,0,0
0,3,-0.6100963453267019,0,0,-0.5452853709271769,0,-0.5609748304808925,1,-0.39163608705444175,0,2,1,0,0,1,0,0,0,0
0,3,-0.8357118927001413,2,0,-0.3111691286208247,0,0.6792945838081278,0,-0.46389326570392175,1,2,2,0,0,1,0,1,0,0
1,3,-1.136532622531394,1,0,-0.4701869980056509,0,0.059159876663617626,0,-0.4772573190136536,1,1,1,1,0,0,0,1,0,0
0,3,0.8188021213717487,1,0,-0.511756160345614,0,0.059159876663617626,0,-0.5083931135307357,1,2,1,0,0,1,0,0,1,0
0,2,-0.15886525057982273,1,0,-0.2405813168701657,0,0.059159876663617626,0,-0.30527994671725833,1,2,2,0,0,1,0,0,1,0
0,3,-0.3092756154954491,0,0,-0.5489135844511608,0,-0.5609748304808925,1,-0.3970712367850514,0,2,0,1,0,0,0,0,0,0
1,2,-1.9637896295673392,1,2,0.24363224832288793,0,1.299429290952638,0,-0.30898797364112435,1,0,3,1,0,0,0,1,0,0
1,3,-0.7605067102423282,0,0,-0.5493041703428477,0,-0.5609748304808925,1,-0.3976563436950911,1,2,0,0,1,0,0,1,0,0
0,3,-0.3092756154954491,0,0,-0.5452853709271769,0,-0.5609748304808925,1,-0.39163608705444175,0,2,1,0,0,1,0,0,0,0
0,3,-0.3092756154954491,1,0,-0.36999230507970715,0,0.059159876663617626,0,-0.4022103083202193,0,2,2,0,1,0,0,0,0,0
1,3,-0.5724937540977952,0,0,-0.5523441521022427,0,-0.5609748304808925,1,-0.4022103083202193,1,2,0,0,1,0,0,1,0,0
0,3,-0.3092756154954491,2,0,-0.22460023628981649,0,0.6792945838081278,0,-0.420665849169423,0,2,2,1,0,0,0,0,0,0
0,3,-0.8357118927001413,1,0,-0.3158749827375353,0,0.059159876663617626,0,-0.361675793468072,1,2,2,0,0,1,0,0,1,0
0,3,-1.6629688997360863,4,1,0.19912192715998075,0,2.5396987052416584,0,-0.4422307985275025,0,0,3,0,0,1,1,0,0,0
0,3,-0.6100963453267019,0,0,-0.5511676885730651,0,-0.5609748304808925,1,-0.4004479381092564,0,2,0,0,0,1,0,0,0,0
1,1,1.4956487634920672,1,0,1.0706861093347755,1,0.059159876663617626,0,0.676874872890693,1,2,3,1,0,0,0,0,1,0
1,2,-0.008454885664196365,1,0,-0.12293496395240078,0,0.059159876663617626,0,-0.21716143616911202,1,2,2,0,0,1,0,0,1,0
0,1,2.6989316828170784,0,1,0.7236293682273689,1,0.059159876663617626,0,0.41692526677366126,0,3,3,1,0,0,0,0,0,0
1,1,0.8188021213717487,0,0,0.10059310659135261,1,-0.5609748304808925,1,0.575905158764205,0,2,3,0,0,1,0,0,0,0
1,2,-0.6100963453267019,0,0,-0.4876386579974721,0,-0.5609748304808925,1,-0.30527994671725833,1,2,1,0,0,1,0,1,0,0
0,3,-0.04605747689310296,0,0,-0.5645981962221572,0,-0.5609748304808925,1,-0.4205671564376092,0,2,0,1,0,0,0,0,0,0
1,2,-1.8133792646517128,1,2,-0.08175874043118304,0,1.299429290952638,0,-0.4308488242483669,1,0,2,0,0,1,0,1,0,0
0,3,-1.3621481699048337,5,2,0.36882679124385664,0,3.779968119530679,0,-0.4687397837840698,0,0,3,0,0,1,1,0,0,0
0,3,-0.5348911628688886,0,0,-0.5645981962221572,0,-0.5609748304808925,1,-0.4205671564376092,0,2,0,1,0,0,0,0,0,0
1,1,0.6683917564561223,0,0,1.1476456475594605,1,-0.5609748304808925,1,2.1444146465212097,1,2,3,0,0,1,0,1,0,0
0,1,1.1948280336608146,1,0,1.229409862837307,1,0.059159876663617626,0,0.79576084258183,0,2,3,0,0,1,0,0,0,0
0,3,-1.8885844471095259,3,2,-0.07822934984365013,0,2.5396987052416584,0,-0.5114772613999208,0,0,2,0,0,1,1,0,0,0
0,1,0.8188021213717487,0,0,-0.08244579513222278,0,-0.5609748304808925,1,0.301708551861749,0,2,2,1,0,0,0,0,0,0
1,3,-0.3092756154954491,1,1,-0.3759734456620463,0,0.6792945838081278,0,-0.4962527326041491,0,2,2,1,0,0,1,0,0,0
1,2,-0.008454885664196365,0,0,-0.4876386579974721,1,-0.5609748304808925,1,-0.30527994671725833,1,2,1,0,0,1,0,0,1,0
0,3,-0.7605067102423282,0,0,-0.5427371509229781,0,-0.5609748304808925,1,-0.38781879317749607,0,2,1,0,0,1,0,0,0,0
1,3,-0.9109170751579546,4,2,-0.548226529750121,0,3.1598334123861687,0,-0.6354725940998125,1,1,1,0,0,1,0,1,0,0
0,3,-0.23407043303763592,2,0,-0.5308736926947507,0,0.6792945838081278,0,-0.573600811336364,0,2,1,0,0,1,0,0,0,0
0,2,0.2171606617092432,0,0,-0.4876386579974721,0,-0.5609748304808925,1,-0.30527994671725833,0,2,1,0,0,1,0,0,0,0
0,3,-0.9861222576157678,5,2,0.36882679124385664,0,3.779968119530679,0,-0.4687397837840698,1,1,3,0,0,1,0,1,0,0
0,2,-0.6100963453267019,0,0,0.994705388766366,0,-0.5609748304808925,1,1.9153065190960292,0,2,3,0,0,1,0,0,0,0
0,3,-0.23407043303763592,1,0,-0.3945992162559869,0,0.059159876663617626,0,-0.4206411759864696,0,2,1,1,0,0,0,0,0,0
1,3,0.2171606617092432,0,0,0.5946089659095145,0,-0.5609748304808925,1,1.3159526082709134,0,2,3,0,0,1,0,0,0,0
0,3,-0.3092756154954491,0,0,-0.5546970791605981,1,-0.5609748304808925,1,-0.40573504874214517,0,2,0,0,0,1,0,0,0,0
0,3,-0.3092756154954491,0,0,-0.5489135844511608,0,-0.5609748304808925,1,-0.3970712367850514,0,2,0,0,0,1,0,0,0,0
0,3,-0.3092756154954491,0,0,-0.5452853709271769,0,-0.5609748304808925,1,-0.39163608705444175,0,2,1,0,0,1,0,0,0,0
1,2,-2.126984875500794,0,2,-0.052347152201741805,0,0.6792945838081278,0,-0.33465278356664047,0,0,2,0,0,1,1,0,0,0
1,3,0.06675029679361683,0,0,-0.44116834859495496,0,-0.5609748304808925,1,-0.23566632338422278,1,2,1,0,0,1,0,1,0,0
0,3,-0.5348911628688886,0,0,-0.5229325638728015,0,-0.5609748304808925,1,-0.35815105304614614,0,2,1,0,0,1,0,0,0,0
1,3,-0.008454885664196365,0,0,-0.5111679285810251,0,-0.5609748304808925,1,-0.34052735093651687,0,2,1,0,0,1,0,0,0,0
1,3,-0.5724937540977952,0,0,-0.5514618044553596,0,-0.5609748304808925,1,-0.40088853066199714,1,2,0,0,1,0,0,1,0,0
0,1,-0.08366006812200955,0,0,0.3735326453605673,0,-0.5609748304808925,1,0.984775047707604,0,2,3,0,0,1,0,0,0,0
1,2,-0.9109170751579546,0,0,-0.4876386579974721,0,-0.5609748304808925,1,-0.30527994671725833,1,1,1,0,0,1,0,1,0,0
1,3,0.29236584416705635,3,0,-0.3617570603754636,0,1.299429290952638,0,-0.535709851800661,1,2,2,0,0,1,0,0,1,0
